timestamp,funding_rate,source
1731816000,4.58845e-05,caiooooo
1731819600,4.21907e-05,caiooooo
1731823200,4.24867e-05,caiooooo
1731826800,4.22567e-05,caiooooo
1731830400,4.63353e-05,caiooooo
1731834000,3.95345e-05,caiooooo
1731837600,5.2423e-05,caiooooo
1731841200,4.97056e-05,caiooooo
1731844800,2.84451e-05,caiooooo
1731848400,2.66454e-05,caiooooo
1731852000,5.74534e-05,caiooooo
1731855600,6.94055e-05,caiooooo
1731859200,5.00883e-05,caiooooo
1731862800,2.91992e-05,caiooooo
1731866400,4.66172e-05,caiooooo
1731870000,4.79512e-05,caiooooo
1731873600,5.28665e-05,caiooooo
1731877200,4.0716e-05,caiooooo
1731880800,6.03462e-05,caiooooo
1731884400,3.33471e-05,caiooooo
1731888000,6.16862e-05,caiooooo
1731891600,4.54313e-05,caiooooo
1731895200,4.20371e-05,caiooooo
1731898800,5.71542e-05,caiooooo
1731902400,8.04818e-05,caiooooo
1731906000,8.25843e-05,caiooooo
1731909600,8.95718e-05,caiooooo
1731913200,0.0001038089,caiooooo
1731916800,0.0001041016,caiooooo
1731920400,6.88557e-05,caiooooo
1731924000,7.03319e-05,caiooooo
1731927600,7.52879e-05,caiooooo
1731931200,4.17644e-05,caiooooo
1731934800,3.30838e-05,caiooooo
1731938400,5.9486e-05,caiooooo
1731942000,8.79358e-05,caiooooo
1731945600,6.44519e-05,caiooooo
1731949200,6.25631e-05,caiooooo
1731952800,7.52325e-05,caiooooo
1731956400,3.02566e-05,caiooooo
1731960000,5.29181e-05,caiooooo
1731963600,8.68448e-05,caiooooo
1731967200,7.36859e-05,caiooooo
1731970800,7.31585e-05,caiooooo
1731974400,5.2195e-05,caiooooo
1731978000,3.00946e-05,caiooooo
1731981600,4.61264e-05,caiooooo
1731985200,5.82928e-05,caiooooo
1731988800,6.54582e-05,caiooooo
1731992400,5.56936e-05,caiooooo
1731996000,6.54942e-05,caiooooo
1731999600,8.87585e-05,caiooooo
1732003200,9.37759e-05,caiooooo
1732006800,7.86925e-05,caiooooo
1732010400,5.58246e-05,caiooooo
1732014000,5.90236e-05,caiooooo
1732017600,5.57678e-05,caiooooo
1732021200,7.84159e-05,caiooooo
1732024800,8.28794e-05,caiooooo
1732028400,6.43567e-05,caiooooo
1732032000,6.51224e-05,caiooooo
1732035600,6.42045e-05,caiooooo
