timestamp,funding_rate,source
1755586800,1.25e-05,caiooooo
1755590400,1.25e-05,caiooooo
1755594000,1.25e-05,caiooooo
1755597600,1.25e-05,caiooooo
1755601200,1.25e-05,caiooooo
1755604800,1.25e-05,caiooooo
1755608400,1.25e-05,caiooooo
1755612000,6.2537e-06,caiooooo
1755615600,6.0104e-06,caiooooo
1755619200,7.4867e-06,caiooooo
1755622800,-2.7825e-06,caiooooo
1755626400,2.4865e-06,caiooooo
1755630000,1.25e-05,caiooooo
1755633600,1.25e-05,caiooooo
1755637200,1.25e-05,caiooooo
1755640800,8.6089e-06,caiooooo
1755644400,1.05111e-05,caiooooo
1755648000,1.4715e-06,caiooooo
1755651600,4.9744e-06,caiooooo
1755655200,5.94e-08,caiooooo
1755658800,3.8997e-06,caiooooo
1755662400,7.9988e-06,caiooooo
1755666000,9.2229e-06,caiooooo
1755669600,1.25e-05,caiooooo
1755673200,8.9049e-06,caiooooo
1755676800,8.6519e-06,caiooooo
1755680400,1.17304e-05,caiooooo
1755684000,1.16705e-05,caiooooo
1755687600,1.14996e-05,caiooooo
1755691200,-1.35e-08,caiooooo
1755694800,4.5254e-06,caiooooo
1755698400,-3.6052e-06,caiooooo
1755702000,9.1377e-06,caiooooo
1755705600,1.25e-05,caiooooo
1755709200,1.25e-05,caiooooo
1755712800,1.25e-05,caiooooo
1755716400,1.25e-05,caiooooo
1755720000,1.25e-05,caiooooo
1755723600,1.25e-05,caiooooo
1755727200,1.25e-05,caiooooo
1755730800,1.25e-05,caiooooo
1755734400,1.25e-05,caiooooo
1755738000,1.25e-05,caiooooo
1755741600,1.25e-05,caiooooo
1755745200,1.25e-05,caiooooo
1755748800,1.25e-05,caiooooo
1755752400,1.25e-05,zushen
1755756000,1.25e-05,zushen
1755759600,1.25e-05,zushen
1755763200,1.25e-05,zushen
1755766800,1.25e-05,zushen
1755770400,1.25e-05,zushen
1755774000,1.25e-05,zushen
1755777600,1.25e-05,zushen
1755781200,1.25e-05,zushen
1755784800,1.25e-05,zushen
1755788400,1.25e-05,zushen
1755792000,1.28149e-05,zushen
1755795600,2.07499e-05,zushen
1755799200,1.25e-05,zushen
1755802800,1.25e-05,zushen
1755806400,1.25e-05,zushen
1755810000,1.25e-05,zushen
1755813600,1.25e-05,zushen
1755817200,1.25e-05,zushen
1755820800,1.25e-05,zushen
1755824400,1.25e-05,zushen
1755828000,1.25e-05,zushen
1755831600,1.81214e-05,zushen
1755835200,1.95862e-05,zushen
1755838800,1.84592e-05,zushen
1755842400,1.67622e-05,zushen
1755846000,1.91424e-05,zushen
1755849600,2.00337e-05,zushen
1755853200,1.28193e-05,zushen
1755856800,2.04722e-05,zushen
1755860400,2.01816e-05,zushen
1755864000,1.37129e-05,zushen
1755867600,2.29489e-05,zushen
1755871200,1.60423e-05,zushen
1755874800,7.15443e-05,zushen
1755878400,4.27973e-05,zushen
1755882000,3.61731e-05,zushen
1755885600,4.91771e-05,zushen
1755889200,5.03105e-05,zushen
1755892800,4.39593e-05,zushen
1755896400,4.40587e-05,zushen
1755900000,4.49292e-05,zushen
1755903600,3.71743e-05,zushen
1755907200,3.99172e-05,zushen
1755910800,3.60464e-05,zushen
1755914400,2.28674e-05,zushen
1755918000,2.62204e-05,zushen
1755921600,2.31976e-05,zushen
1755925200,2.67405e-05,zushen
1755928800,3.44261e-05,zushen
1755932400,3.56294e-05,zushen
1755936000,3.49701e-05,zushen
1755939600,4.36908e-05,zushen
1755943200,3.4399e-05,zushen
1755946800,2.82904e-05,zushen
