timestamp,funding_rate,source
1755586800,-1.09792e-05,caiooooo
1755590400,7.2956e-06,caiooooo
1755594000,1.12905e-05,caiooooo
1755597600,1.25e-05,caiooooo
1755601200,1.25e-05,caiooooo
1755604800,1.25e-05,caiooooo
1755608400,-2.03e-07,caiooooo
1755612000,5.7445e-06,caiooooo
1755615600,-1.16991e-05,caiooooo
1755619200,-1.26345e-05,caiooooo
1755622800,-8.2499e-06,caiooooo
1755626400,-4.3329e-06,caiooooo
1755630000,1.2504e-06,caiooooo
1755633600,1.6739e-06,caiooooo
1755637200,5.5527e-06,caiooooo
1755640800,4.268e-06,caiooooo
1755644400,-3.2143e-06,caiooooo
1755648000,-8.7628e-06,caiooooo
1755651600,8.6448e-06,caiooooo
1755655200,7.6647e-06,caiooooo
1755658800,4.4413e-06,caiooooo
1755662400,2.9416e-06,caiooooo
1755666000,1.13222e-05,caiooooo
1755669600,1.25e-05,caiooooo
1755673200,1.25e-05,caiooooo
1755676800,1.13015e-05,caiooooo
1755680400,7.6176e-06,caiooooo
1755684000,1.25e-05,caiooooo
1755687600,1.25e-05,caiooooo
1755691200,1.25e-05,caiooooo
1755694800,1.25e-05,caiooooo
1755698400,1.25e-05,caiooooo
1755702000,3.9842e-06,caiooooo
1755705600,1.25e-05,caiooooo
1755709200,1.25e-05,caiooooo
1755712800,1.25e-05,caiooooo
1755716400,-3.8978e-06,caiooooo
1755720000,7.784e-06,caiooooo
1755723600,1.25e-05,caiooooo
1755727200,1.25e-05,caiooooo
1755730800,1.25e-05,caiooooo
1755734400,1.25e-05,caiooooo
1755738000,1.25e-05,caiooooo
1755741600,1.25e-05,caiooooo
1755745200,1.25e-05,caiooooo
1755748800,1.25e-05,caiooooo
1755752400,1.25e-05,zushen
1755756000,1.25e-05,zushen
1755759600,1.25e-05,zushen
1755763200,1.25e-05,zushen
1755766800,1.25e-05,zushen
1755770400,1.25e-05,zushen
1755774000,-2.3018e-06,zushen
1755777600,-1.8838e-06,zushen
1755781200,1.9423e-06,zushen
1755784800,1.25e-05,zushen
1755788400,1.25e-05,zushen
1755792000,-4.6527e-06,zushen
1755795600,-3.911e-06,zushen
1755799200,-2.23105e-05,zushen
1755802800,-8.5478e-06,zushen
1755806400,-5.2567e-06,zushen
1755810000,-1.80848e-05,zushen
1755813600,-3.1652e-06,zushen
1755817200,-1.7224e-06,zushen
1755820800,-4.3798e-06,zushen
1755824400,5.842e-07,zushen
1755828000,1.1692e-05,zushen
1755831600,1.25e-05,zushen
1755835200,1.25e-05,zushen
1755838800,1.25e-05,zushen
1755842400,1.25e-05,zushen
1755846000,1.25e-05,zushen
1755849600,1.25e-05,zushen
1755853200,1.25e-05,zushen
1755856800,1.25e-05,zushen
1755860400,1.25e-05,zushen
1755864000,1.25e-05,zushen
1755867600,1.25e-05,zushen
1755871200,1.25e-05,zushen
1755874800,1.25e-05,zushen
1755878400,1.25e-05,zushen
1755882000,1.25e-05,zushen
1755885600,1.25e-05,zushen
1755889200,1.25e-05,zushen
1755892800,1.25e-05,zushen
1755896400,2.77818e-05,zushen
1755900000,4.59918e-05,zushen
1755903600,1.48096e-05,zushen
1755907200,2.49987e-05,zushen
1755910800,3.42726e-05,zushen
1755914400,1.25e-05,zushen
1755918000,1.25e-05,zushen
1755921600,1.25e-05,zushen
1755925200,5.17452e-05,zushen
1755928800,6.24816e-05,zushen
1755932400,3.7813e-05,zushen
1755936000,3.69063e-05,zushen
1755939600,3.60478e-05,zushen
1755943200,6.52751e-05,zushen
1755946800,3.05558e-05,zushen
1755950400,2.35273e-05,zushen
1755954000,3.50254e-05,zushen
1755957600,3.85593e-05,zushen
1755961200,3.87526e-05,zushen
1755964800,4.63729e-05,zushen
1755968400,3.73253e-05,zushen
1755972000,4.54973e-05,zushen
1755975600,4.73562e-05,zushen
1755979200,4.13911e-05,zushen
1755982800,4.28819e-05,zushen
1755986400,4.60563e-05,zushen
1755990000,5.49611e-05,zushen
1755993600,5.40474e-05,zushen
1755997200,6.06002e-05,zushen
1756000800,6.02383e-05,zushen
1756004400,5.37974e-05,zushen
1756008000,4.35689e-05,zushen
1756011600,5.06444e-05,zushen
1756015200,4.38769e-05,zushen
1756018800,3.27677e-05,zushen
1756022400,3.47201e-05,zushen
1756026000,3.44926e-05,zushen
1756029600,3.15914e-05,zushen
1756033200,1.25e-05,zushen
1756036800,1.25e-05,zushen
1756040400,1.25e-05,zushen
1756044000,1.25e-05,zushen
1756047600,1.25e-05,zushen
1756051200,1.25e-05,zushen
1756054800,1.49284e-05,zushen
1756058400,2.69271e-05,zushen
1756062000,4.65122e-05,zushen
1756065600,4.48382e-05,zushen
1756069200,5.0071e-05,zushen
1756072800,5.65169e-05,zushen
1756076400,4.10575e-05,zushen
1756080000,5.4485e-05,zushen
1756083600,2.88072e-05,zushen
1756087200,2.96852e-05,zushen
1756090800,2.28111e-05,zushen
1756094400,1.25e-05,zushen
1756098000,1.25e-05,zushen
1756101600,1.25e-05,zushen
1756105200,1.25e-05,zushen
1756108800,1.25e-05,zushen
1756112400,1.25e-05,zushen
1756116000,1.25e-05,zushen
1756119600,1.25e-05,zushen
1756123200,1.25e-05,zushen
1756126800,1.25e-05,zushen
1756130400,1.25e-05,zushen
1756134000,1.25e-05,zushen
1756137600,1.25e-05,zushen
1756141200,1.25e-05,zushen
1756144800,1.25e-05,zushen
1756148400,1.25e-05,zushen
1756152000,1.25e-05,zushen
1756155600,-4.17854e-05,zushen
1756159200,-1.85136e-05,zushen
1756162800,-1.30455e-05,zushen
1756166400,-1.2923e-06,zushen
1756170000,7.0424e-06,zushen
1756173600,1.25e-05,zushen
1756177200,1.25e-05,zushen
1756180800,1.25e-05,zushen
1756184400,1.25e-05,zushen
1756188000,1.25e-05,zushen
1756191600,1.25e-05,zushen
1756195200,1.25e-05,zushen
1756198800,1.25e-05,zushen
1756202400,1.25e-05,zushen
1756206000,1.25e-05,zushen
1756209600,1.25e-05,zushen
