timestamp,mint,symbol,market_cap_usd_at_call,peak_multiple_after_call,telegram_msg_id
1782825883,8p3MWb9UZsCWLLsc4FSE3vtn5KTHhiynboGpYi88pump,TJR,4407,6.316,94
1782828915,3CGtDMvazrPcxCECkrkbHMfMeVtFBhPwre245fpBpump,MOONAM,12099,2.968,100
1782830208,9GBmYwDh8rxr8HCoim7ajPBmhpsWtgJJrYuuRtpqpump,Sendy,25306,4.121,104
1782830627,6AqtWvmPsiYRdRigNnjzCP8q1y3uBReXSVKUUPgvpump,bul,11073,2.729,106
1782833622,32rQkCNd2BfrsyjBd3TWzVzLy1jsNLYDuLuY8HLJpump,Trencher,12734,5.997,115
1782842495,EBS4nykwAtpxZLTWb7DqFBYWve9FEua4fc4q6tHMpump,RUNNER,9329,4.997,122
1782843676,Ezy3638fh5cZmybudNDNehkMDGEEgE1UY6ASCGTrpump,DIH,8010,14.069,125
1782850182,AN1WUBM93AmumPpZqBfFUbsWfesS3XGmXzy1s3p7pump,bob,5909,12.801,133
1782851580,xcD2kAjMYNnFSRm8GBGqtaaj7y3AWFjc1UrfzSupump,CHUMP,10596,3.281,137
1782851685,EEmnr4ebg8t5r5rSPbRTCR6k6ASf9Rgwi3sXMRRdpump,Pumpius,13028,2.847,139
1782856945,7DMzdDasdDgDYY61NrpPxyJrHdS1wuivDPkLsKzSpump,borzoiplane,10842,4.622,144
1782857339,ADei3TQdcJbqLfSBb2euj7xWzEYnoSzarUqhTboApump,CBD,5572,11.221,146
1782857467,3Tf3RD5t45wQJF8uEYVXpR2M4wBiCaSNwUWENzVGpump,Meowpin,6171,207.313,148
1782859435,2j3w82u2PhMZQQ7BzxVuTinKMKJFL6CuGdPeQeoapump,CHINESE,15823,4.812,150
1782864263,7agRtxHbNV4CxfL3FirmP38oZMVxNtxTvmyWia4spump,GSC,6940,2.116,153
1782871366,5z9F92WTGyKbgycfXSvg677xyhgz7c4t9t7UfDDLpump,Trojan,5778,3.087,156
1782872247,Boooi4Twh5wQVDDwXzPnrPxcbqVgqttdY9BRgdw5pump,Moka,11381,4.94,159
1782875567,GXKHJQS9qFbqsgVmRUHznS6e2dzT8zHqneT6A2wjpump,solana,6483,6.045,161
1782882020,8auim5qSDP2DHN27XUTiY1UjShK3Mw2otJJvR5kspump,Teddy,12118,2.259,163
1782884662,AJj2ksDDHK3Pe7DBhW2bgQVSTP8q7pLbQRVXJQBJaSpV,STOCHASTIC,10311,21.771,166
1782889995,5g1SknCckXcMYSNoqiPTjWLhZhWoW28kVuHdA8hmpump,克洛德,4797,4.288,168
1782898799,2GGdCUjVpiYfyNy7r1XsLMQosKng2UYgc6Bd3qgomiso,miso,11010,2.8120000000000003,170
1782900555,DSqcq61Q9NUg9Ake3sxGvUx4kxZb2pFoFBsQtjjDpump,TEXE,6650,2.416,172
1782904005,5vfUYezEgMhGTJTwWTPERCsxZnC6bfyNKZALHaL8pump,KinOnWave,6739,13.879,175
1782904427,AKvo9h7sKSW8je7psL4nZLCGpTK2ZSKQD2AFNDR9pump,relax,11736,15.924,177
1782909524,J6TMRmK9CUmyXDdtEWjRhSrpoZsQeFZMnCMXU9KUpump,ポン,7622,8.697,184
